epoch,lr-AdamW,step,train/ADE_epoch,train/ADE_step,train/CV_ADE_epoch,train/CV_ADE_step,train/CV_FDE_epoch,train/CV_FDE_step,train/FDE_epoch,train/FDE_step,train/loss_epoch,train/loss_step,train/occ_epoch,train/occ_step,train/traj_epoch,train/traj_step,val/ADE,val/CV_ADE,val/CV_FDE,val/FDE,val/loss,val/occ,val/traj
,0.0003,0,,,,,,,,,,,,,,,,,,,,,
0,,9,,2.504591941833496,,2.446608304977417,,5.083662033081055,,5.133669853210449,,1.7879319190979004,,0.8542113900184631,,0.9337205290794373,,,,,,,
0,,19,,0.5427931547164917,,0.12080702185630798,,0.14166530966758728,,0.5913749933242798,,0.9037184119224548,,0.8092736005783081,,0.09444481879472733,,,,,,,
0,,29,,0.5411360859870911,,0.4693549573421478,,0.9867395758628845,,0.9937258958816528,,0.6262065172195435,,0.5252335667610168,,0.100972980260849,,,,,,,
0,,39,,3.9792470932006836,,3.986196517944336,,9.029557228088379,,9.004356384277344,,2.5717782974243164,,0.6513065099716187,,1.9204716682434082,,,,,,,
0,,49,,2.7472424507141113,,2.675234794616699,,6.7416229248046875,,6.862020015716553,,1.5194096565246582,,0.5401396155357361,,0.9792700409889221,,,,,,,
0,,59,,3.257849931716919,,3.2330734729766846,,8.364814758300781,,8.44794750213623,,1.6241480112075806,,0.44453632831573486,,1.1796116828918457,,,,,,,
0,,69,,4.363140106201172,,4.4429426193237305,,12.005550384521484,,11.854161262512207,,2.523430824279785,,0.4876595139503479,,2.035771369934082,,,,,,,
0,,79,,0.8677505254745483,,0.8271052241325378,,0.43732258677482605,,0.8170390129089355,,0.6272799968719482,,0.48401087522506714,,0.14326909184455872,,,,,,,
0,,89,,2.323936939239502,,2.314368724822998,,4.895484447479248,,4.901270389556885,,1.2702057361602783,,0.5023135542869568,,0.7678921818733215,,,,,,,
0,,99,,13.254093170166016,,13.254803657531738,,22.678298950195312,,22.682310104370117,,5.098954677581787,,0.6187822222709656,,4.480172634124756,,,,,,,
0,,109,,0.14146137237548828,,0.07471662014722824,,0.07999236136674881,,0.414522260427475,,0.33726969361305237,,0.33197829127311707,,0.005291388835757971,,,,,,,
0,,119,,0.39691486954689026,,0.3445111811161041,,0.45228755474090576,,0.44221821427345276,,0.5926428437232971,,0.5487644076347351,,0.04387843608856201,,,,,,,
0,,129,,0.11474284529685974,,8.136588439811021e-05,,6.102456973167136e-05,,0.06567887216806412,,0.4963962733745575,,0.4941631853580475,,0.0022330856882035732,,,,,,,
0,,139,,2.8909058570861816,,3.0074615478515625,,7.90329122543335,,7.725522518157959,,1.9031376838684082,,0.46383118629455566,,1.4393064975738525,,,,,,,
0,,149,,1.1152540445327759,,1.1964319944381714,,1.461294174194336,,1.281468152999878,,0.787613570690155,,0.3903953731060028,,0.3972181975841522,,,,,,,
0,,159,,4.220098495483398,,4.222169876098633,,9.852724075317383,,9.866273880004883,,2.3333277702331543,,0.4583982825279236,,1.874929428100586,,,,,,,
0,,160,,,,,,,,,,,,,,,3.1400530338287354,3.0119755268096924,6.455367565155029,6.738777160644531,1.7311118841171265,0.5369923114776611,1.1941196918487549
0,,160,3.1075305938720703,,3.0510756969451904,,6.9836297035217285,,7.065777778625488,,1.7602429389953613,,0.530784010887146,,1.2294590473175049,,,,,,,,
,0.0002997040092642407,161,,,,,,,,,,,,,,,,,,,,,
