epoch,step,train/loss,train/occ,train/traj
0,4,0.6987061500549316,0.6879931092262268,0.010713018476963043
0,9,0.663110613822937,0.6555815935134888,0.007529002148658037
0,14,0.6360286474227905,0.6254863739013672,0.010542253963649273
0,19,0.6316267251968384,0.6158265471458435,0.01580018736422062
0,24,0.6283414959907532,0.6167185306549072,0.011622976511716843
0,29,0.6282013654708862,0.6208567023277283,0.0073446594178676605
0,34,0.6249309182167053,0.6167956590652466,0.008135277777910233
0,39,0.6270452737808228,0.6118733882904053,0.015171871520578861
0,44,0.621117353439331,0.6111900210380554,0.00992735754698515
0,49,0.6292305588722229,0.617990255355835,0.01124028954654932
0,54,0.6250115633010864,0.613619327545166,0.011392265558242798
0,59,0.617887020111084,0.6147147417068481,0.0031722746789455414
0,64,0.6207830905914307,0.6114199757575989,0.009363120421767235
0,69,0.6164150834083557,0.6136854290962219,0.002729683415964246
0,74,0.623956024646759,0.6134252548217773,0.010530748404562473
0,79,0.632402241230011,0.6219164133071899,0.010485856793820858
0,84,0.6227763891220093,0.612291693687439,0.010484673082828522
0,89,0.6174296140670776,0.6080268025398254,0.009402821771800518
0,94,0.6200820207595825,0.6088144779205322,0.011267554014921188
0,99,0.6215273141860962,0.6113172173500061,0.010210125707089901
0,104,0.6303806304931641,0.6136610507965088,0.016719600185751915
0,109,0.6268476843833923,0.6176979541778564,0.009149712510406971
0,114,0.620750367641449,0.6116498708724976,0.009100505150854588
0,119,0.6212281584739685,0.6167517900466919,0.004476387519389391
0,124,0.626122236251831,0.611644983291626,0.014477266930043697
1,129,0.6221175193786621,0.6149729490280151,0.00714454660192132
1,134,0.6289277672767639,0.6192460060119629,0.00968178641051054
1,139,0.6232221722602844,0.6084246635437012,0.014797528274357319
1,144,0.6222837567329407,0.6131823062896729,0.009101456962525845
1,149,0.6197232007980347,0.6097723245620728,0.00995089951902628
1,154,0.6248160004615784,0.6174906492233276,0.007325340528041124
1,159,0.6147739887237549,0.6105427742004395,0.00423120753839612
1,164,0.6216049790382385,0.6154228448867798,0.006182108540087938
1,169,0.6244342923164368,0.6172387003898621,0.007195616606622934
1,174,0.6170250177383423,0.6095859408378601,0.007439048960804939
1,179,0.6215505599975586,0.6131783127784729,0.008372238837182522
1,184,0.6187630295753479,0.6141183376312256,0.004644662607461214
1,189,0.6155180335044861,0.6094960570335388,0.006021978799253702
1,194,0.6197670698165894,0.6112459897994995,0.008521058596670628
1,199,0.6262661814689636,0.6150747537612915,0.011191445402801037
1,204,0.6224480867385864,0.6136342287063599,0.008813845925033092
1,209,0.6176357865333557,0.6137234568595886,0.003912303596735001
1,214,0.6240856051445007,0.6167703866958618,0.007315199822187424
1,219,0.6226574182510376,0.6132089495658875,0.009448493830859661
1,224,0.623507022857666,0.6146038770675659,0.008903165347874165
1,229,0.6281881928443909,0.6185460090637207,0.009642182849347591
1,234,0.6223331689834595,0.6159237623214722,0.006409432273358107
1,239,0.621465802192688,0.6156306266784668,0.005835182964801788
1,244,0.6151570081710815,0.6094613671302795,0.005695633124560118
1,249,0.6239860653877258,0.6159763932228088,0.008009669370949268
1,254,0.6205329895019531,0.6134532690048218,0.007079724222421646
2,259,0.6216941475868225,0.6160793304443359,0.005614797119051218
2,264,0.6221537590026855,0.6073265075683594,0.014827229082584381
2,269,0.6214543581008911,0.6160130500793457,0.005441283341497183
2,274,0.626827597618103,0.6142376661300659,0.012589961290359497
2,279,0.61751788854599,0.6141340136528015,0.003383888630196452
2,284,0.617541491985321,0.613354504108429,0.004186961334198713
2,289,0.6194002032279968,0.6118225455284119,0.007577685173600912
2,294,0.6176103353500366,0.609022855758667,0.008587458170950413
2,299,0.6163631081581116,0.6120643615722656,0.004298744257539511
2,304,0.624991238117218,0.6132084131240845,0.011782847344875336
2,309,0.6157291531562805,0.6079789400100708,0.0077502126805484295
2,314,0.6233206987380981,0.6165785193443298,0.006742200348526239
2,319,0.6241725087165833,0.6112658381462097,0.01290664542466402
2,324,0.6293737292289734,0.6128414869308472,0.016532251611351967
2,329,0.6151481866836548,0.6070132255554199,0.00813493225723505
2,334,0.6170214414596558,0.6091488599777222,0.00787258055061102
2,339,0.619112491607666,0.6157729625701904,0.0033395031932741404
2,344,0.6203066110610962,0.6110953092575073,0.009211299009621143
2,349,0.6145036816596985,0.6120905876159668,0.0024131014943122864
2,354,0.6268591284751892,0.6131936311721802,0.013665498234331608
2,359,0.6213356852531433,0.6111207008361816,0.010214980691671371
2,364,0.620369553565979,0.6138481497764587,0.006521408911794424
2,369,0.6254186034202576,0.6120195388793945,0.013399079442024231
2,374,0.6177043318748474,0.6132926940917969,0.004411611240357161
2,379,0.6247819662094116,0.6189875602722168,0.005794392433017492
